"jobName","jobFileName","recordType","stageName","stageType"
"Jx_Alim_ORA_To_SOFIA_SECBUDG","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_REF_SAREF_SECBUDG","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_UO","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Cp_copy","PxCopy"
"Jx_Alim_ORA_To_SOFIA_UO","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_ODS_SOFIA_UO","OracleConnectorPX"
"Jx_Alim_ORA_To_SOFIA_UO","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","ORA_REF_SAREF_UO","OracleConnectorPX"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Seq_Input_CSV","PxSequentialFile"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","CpRejet","PxCopy"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","File_Rejet","PxSequentialFile"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Join_62","PxJoin"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Copy_67","PxCopy"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Remove_Duplicates_69","PxRemDup"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ci_Format_Data","PxColumnImport"
"Jx_ALTARES_Chargement_csv_in_ds","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ds_Output","PxDataSet"
"Jx_ALTARES_Chargement_ds_in_ora","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ora_Table","OracleConnectorPX"
"Jx_ALTARES_Chargement_ds_in_ora","UTIprdBatch__ULYSSExtrProgPourFelixlog.txt","CustomStage","Ds_In","PxDataSet"
