"JOB","FILE","stageName","Stagetype"
"Jx_FEUILLET_06_APP_ROUTAGE_EDIT_DECOMPTE","DFN003.csv","SF_REJETS_NB_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE","Input"
"Jx_FEUILLET_06_APP_ROUTAGE_EDIT_DECOMPTE","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF","Output"
"Jx_FEUILLET_06_APP_ROUTAGE_EDIT_DECOMPTE","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE.ds","DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE","Input"
"PIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes"," ","Sq_Out","Input"
"PIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST"," ","Sq_Out","Input"
"Jx_TRACO_01_EXTR_ELIZAT_PROG_OEUV_PT","DS_01_EXTR_ELIZAT_PROG_OEUV_PT.ds","DS_01_EXTR_ELIZAT_PROG_OEUV_PT","Input"
"Jx_TRACO_05_EXTR_PIVOT_SEANCES","DS_Extract_PIVOT_SEANCES.ds","DS_Extract_PIVOT_SEANCES","Input"
"Jx_TRACO_01_EXTR_CTRL_WEBDR","DS_01_EXTR_CTRL_WEBDR.ds","DS_01_EXTR_CTRL_WEBDR","Input"
"Jx_TRACO_01_EXTR_CTRL_WEBDR","SELDR_DOCEX_DETAILLIVES*.txt","SF_SELDR_DOCEX_DETAILLIVES","Output"
"Jx_TRACO_01_EXTR_CTRL_WEBDR","_20190521112120.csv","SF_REJETS_BL_OSCAR","Input"
"Jx_TRACO_02_EXTR_PENEF_KEYLIG","DS_02_EXTR_PENEF_KEYLIG.ds","DS_02_EXTR_PENEF_KEYLIG","Input"
"Jx_TRACO_02_EXTR_PENEF_KEYLIG","647_KEYLIGPENEL.csv","SF_Extract_KEYLIG","Output"
"Jx_TRACO_02_EXTR_PENEF_KEYLIG","_20190521112120.csv","SF_REJETS_BL_OSCAR","Input"
"Jx_TRACO_02_RAP_WEBDR_ELIZA_PIVOT_OK_ULYSS","DS_03_RAP_WEBDR_ELIZA_PIVOT_KO_ULYSS.ds","DS_03_RAP_WEBDR_ELIZA_PIVOT_KO_ULYSS","Input"
"Jx_TRACO_02_RAP_WEBDR_ELIZA_PIVOT_OK_ULYSS","DS_01_EXTR_ULYSS.ds","DS_01_EXTR_ULYSS","Output"
"Jx_TRACO_02_RAP_WEBDR_ELIZA_PIVOT_OK_ULYSS","DS_03_RAP_WEBDR_ELIZA_PIVOT_OK.ds","DS_03_RAP_WEBDR_ELIZA_PIVOT_OK","Output"
"Jx_TRACO_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG","DS_07_EXTR_PENEF_OEUVCTX_KEYLIG.ds","DS_07_EXTR_PENEF_OEUVCTX_KEYLIG","Output"
"Jx_TRACO_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG","DS_01_APP_WEBDER_ELIZA_PIVOT_OK_PENEL.ds","Copy_of_DS_01_APP_WEBDER_ELIZA_PIVOT_OK_PENEL","Output"
"Jx_TRACO_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG","DS_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG.ds","DS_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG","Input"
"Jx_TRACO_09_RAP_ELIZA_WEBDR_PIVOT_PENEL_PENEF_OEUVCTX_KEYLIG","DS_01_EXTR_PENEF_INFOAD.ds","DS_01_EXTR_PENEF_INFOAD","Output"
"Jx_TRACO_06_RAP_PENEL_RECUP_KEYLIG","DS_06_RAP_PENEL_RECUP_KEYLIG.ds","DS_06_RAP_PENEL_RECUP_KEYLIG","Input"
"Jx_TRACO_06_RAP_PENEL_RECUP_KEYLIG","DS_05_EXTR_PENEL_KEYLIG.ds","DS_05_EXTR_PENEL_KEYLIG","Output"
"Jx_TRACO_06_RAP_PENEL_RECUP_KEYLIG","DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT.ds","DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT","Output"
"Jx_FEUILLET_05_CONST_LISTE_FIC","LISTE_FIC_SRCE_TRAV","SF_INIT_LISTE","Output"
"Jx_FEUILLET_05_CONST_LISTE_FIC","LISTE_FIC_SRCEPAR_LISTE_FIC_SRCE","SF_LISTE_FIC","Input"
"Jx_REPART_01_EXTR_BI_IDE12","DS_EXTRACT_BI_IDE12_FR.ds","DS_EXTRACT_BI_IDE12_FR","Input"
"Jx_REPART_01_EXTR_BI_IDE12","DS_EXTRACT_BI_IDE12_EN.ds","DS_EXTRACT_BI_IDE12_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12","SF_Liste_COAD_IDE12_ENPAR_FIC_LISTE_COAD_IDE12_EN","SF_Liste_COAD_IDE12_EN","Input"
"Jx_REPART_01_EXTR_BI_IDE12","SF_Liste_COAD_IDE12_FRPAR_FIC_LISTE_COAD_IDE12_FR","SF_Liste_COAD_IDE12_FR","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_10","SF_Liste_COAD_IDE12_FR_10","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_05","SF_Liste_COAD_IDE12_FR_05","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_04","SF_Liste_COAD_IDE12_FR_04","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_03","SF_Liste_COAD_IDE12_FR_03","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_02","SF_Liste_COAD_IDE12_FR_02","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_01","SF_Liste_COAD_IDE12_FR_01","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_08","SF_Liste_COAD_IDE12_FR_08","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_07","SF_Liste_COAD_IDE12_FR_07","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_06","SF_Liste_COAD_IDE12_FR_06","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_11","SF_Liste_COAD_IDE12_FR_11","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_12","SF_Liste_COAD_IDE12_FR_12","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_15","SF_Liste_COAD_IDE12_FR_15","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_14","SF_Liste_COAD_IDE12_FR_14","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_13","SF_Liste_COAD_IDE12_FR_13","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","DS_EXTRACT_BI_IDE12_FR.ds","Copy_of_DS_EXTRACT_BI_IDE12_FR","Output"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_22","Copy_of_SF_Liste_COAD_IDE12_FR_22","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_24","Copy_of_SF_Liste_COAD_IDE12_FR_24","Input"
"Jx_REPART_01_EXTR_BI_IDE12_3","SF_Liste_COAD_IDE12_FR_25","Copy_of_SF_Liste_COAD_IDE12_FR_25","Input"
