Projet,job,file,stage,idIO,typeIO
MGTPRD,Jx_LABISValidODSfCOPS02Trans06TYPEDROIT,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans06TYPEDROIT.ds,Ds_LABISValidODSfCOPS02Trans06TYPEDROIT,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans07CODEGENRE,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr01VFACTURE.ds,Ds_LABISValidODSfCOPS01Extr01VFACTURE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans07CODEGENRE,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans07CODEGENRE.ds,Ds_LABISValidODSfCOPS02Trans07CODEGENRE,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans08SOCIETEINTERCO,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr01VFACTURE.ds,Ds_LABISValidODSfCOPS01Extr01VFACTURE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans08SOCIETEINTERCO,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans08SOCIETEINTERCO.ds,Ds_LABISValidODSfCOPS02Trans08SOCIETEINTERCO,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans09SOCIETE,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans09SOCIETE.ds,Ds_LABISValidODSfCOPS02Trans09SOCIETE,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans09SOCIETE,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr04VSOCIETE.ds,Ds_LABISValidODSfCOPS01Extr04VSOCIETE,V66S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans13FACTURE,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr01VFACTURE.ds,Ds_LABISValidODSfCOPS01Extr01VFACTURE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans13FACTURE,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans13FACTURE.ds,Ds_LABISValidODSfCOPS02Trans13FACTURE,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans14LIGNEFACTURE,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr01VFACTURE.ds,Ds_LABISValidODSfCOPS01Extr01VFACTURE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans14LIGNEFACTURE,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans14LIGNEFACTURE.ds,Ds_LABISValidODSfCOPS02Trans14LIGNEFACTURE,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfCOPS02Trans15LETTRAGE,#ParRepDataset#Ds_LABISValidODSfCOPS01Extr05VLETTRAGE.ds,Ds_LABISValidODSfCOPS01Extr05VLETTRAGE,V0S83P5,CustomOutput
MGTPRD,Jx_LABISValidODSfCOPS02Trans15LETTRAGE,#ParRepDataset#Ds_LABISValidODSfCOPS02Trans15LETTRAGE.ds,Ds_LABISValidODSfCOPS02Trans15LETTRAGE,V0S92P2,CustomInput
MGTPRD,Jx_LABISValidODSfGDMIX01Extr01RESDOCSOCS,#ParRepDataset#Ds_LABISValidODSfGDMIX01Extr01RESDOCSOCS.ds,Ds_LABISValidODSfGDMIX01Extr01RESDOCSOCS,V0S83P4,CustomInput
MGTPRD,Jx_LABISValidODSfGDMIX02Trans01RESDOCSOCS,#ParRepDataset#Ds_LABISValidODSfGDMIX02Trans01RESDOCSOCS.ds,Ds_LABISValidODSfGDMIX02Trans01RESDOCSOCS,V0S95P1,CustomInput
MGTPRD,Jx_LABISValidODSfGDMIX02Trans01RESDOCSOCS,#ParRepDataset#Ds_LABISValidODSfGDMIX01Extr01RESDOCSOCS.ds,Ds_LABISValidODSfGDMIX01Extr01RESDOCSOCS,V62S0P2,CustomOutput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrADDECLT,#ParRepDataset#Ds_LABISValidODSfOCTAV_ADDECLT.ds,VALID_OCTAVT_ADDECLT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrAYANTDRT,#ParRepDataset#Ds_LABISValidODSfOCTAV_AYANTDRT.ds,VALID_OCTAVT_AYANTDRT,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCATEGGRE,#ParRepDataset#Ds_LABISValidODSfOCTAVTR_CATEGGRE.ds,VALID_OCTAVTR_CATEGGRE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLETAPE,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLETAPE.ds,VALID_OCTAVT_CLLETAPE,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLETATDECL,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLETATDECL.ds,VALID_OCTAVT_CLLETATDECL,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLFIC,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLFIC.ds,VALID_OCTAVT_CLLFIC,V0S1P1,CustomInput
MGTPRD,Jx_LABISValidODSfOCTAV01ExtrCLLOEUV,#ParRepDataset#Ds_LABISValidODSfOCTAVT_CLLOEUV.ds,VALID_OCTAVT_CLLOEUV,V0S1P1,CustomInput
