Projet,job,file,truefile,stage,idIO,typeIO
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_05\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_05,SF_Liste_COAD_IDE12_FR_05,V154S11P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_04\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_04,SF_Liste_COAD_IDE12_FR_04,V154S13P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_03\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_03,SF_Liste_COAD_IDE12_FR_03,V154S15P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_02\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_02,SF_Liste_COAD_IDE12_FR_02,V154S16P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_01\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_01,SF_Liste_COAD_IDE12_FR_01,V154S21P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_08\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_08,SF_Liste_COAD_IDE12_FR_08,V154S4P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_07\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_07,SF_Liste_COAD_IDE12_FR_07,V154S6P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_06\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_06,SF_Liste_COAD_IDE12_FR_06,V154S8P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_11\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_11,SF_Liste_COAD_IDE12_FR_11,V160S11P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_12\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_12,SF_Liste_COAD_IDE12_FR_12,V160S14P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_15\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_15,SF_Liste_COAD_IDE12_FR_15,V160S2P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_14\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_14,SF_Liste_COAD_IDE12_FR_14,V160S3P1,Cible
SUPprd,Jx_REPART_01_EXTR_BI_IDE12_2,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#_13\(2)0,/work/home/dsprd1/applications/sup/repar/datastage/ini/SF_Liste_COAD_IDE12_FR_13,SF_Liste_COAD_IDE12_FR_13,V160S6P1,Cible
SUPprd,Jx_TRACO_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,#PAR_PATH_DATASET#DS_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF.ds,DS_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,V0S90P2,Cible
SUPprd,Jx_TRACO_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF.csv\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/sources/SF_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF.csv,SF_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,V0S95P1,Cible
SUPprd,Jx_TRACO_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,#PAR_PATH_DATASET#DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds,DS_05_RAP_OEUVCTX_INFOAD_KEYLIG,V138S17P2,Source
SUPprd,Jx_TRACO_01_WEBDR_ELIZA_PIVOT_PENEL_PENEF,#PAR_PATH_DATASET#DS_01_APP_WEBDER_ELIZA_PIVOT_OK_PENEL.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_APP_WEBDER_ELIZA_PIVOT_OK_PENEL.ds,DS_01_APP_WEBDER_ELIZA_PIVOT_OK_PENEL,V151S0P2,Source
SUPprd,PIVOLExtrTitrPourUlyssEtPenel40OraExtrEtChrgVentes_TEST1_ISO_TEST,\(2)\(2)0\(1)\(3)file\(2)#ParRepTmp#Yxxx_#ParFicRapprochVte#\(2)0, ,Copy_of_Sq_Out,V33S0P2,Cible
SUPprd,Jx_TRACO_02_APP_WEBDER_ELIZA_PIVOT_OK_PENEL,#PAR_PATH_DATASET#DS_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL.ds,DS_03_APP_WEBDER_ELIZA_PIVOT_OK_KO_PENEL,V0S80P1,Cible
SUPprd,Jx_TRACO_02_APP_WEBDER_ELIZA_PIVOT_OK_PENEL,#PAR_PATH_DATASET#DS_07_RAP_WEBDR_ELIZA_PIVOT_OK.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_07_RAP_WEBDR_ELIZA_PIVOT_OK.ds,DS_07_RAP_WEBDR_ELIZA_PIVOT_OK,V146S0P2,Source
